,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
16,873,these men <unknown> their <unknown> mothers is the best payback ever    ,,its a pretty genius way to turn the tables on the <unknown> at least its,agree,agree
17,896,tail of survival buried cat believed dead <unknown> back to life    ,,the owner took the cat to the tampa bay humane society where <unknown> will have,agree,agree
18,912,the <unknown> was sick so the bride married a guest at her wedding in a,,singh dressed in a leather jacket and jeans was completely taken <unknown> by the strange,agree,agree
19,939,ferguson <unknown> 's photo gets edited into racist meme goes viral    ,,months later a doctored photo of him holding a sign that says no mother should,agree,agree
20,948,justin bieber <unknown> <unknown> bear saves russian fisherman       ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
21,983,justin bieber saved this guy from a bear attack      ,,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
22,1005,angry passenger tossed off plane after crew wishes him merry christmas    ,,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
23,1051,florida woman gets third <unknown> to become <unknown> <number>      ,crazy massage <unknown> who goes,the admittedly crazy massage <unknown> who goes by the name <unknown> <unknown> told an orlando,agree,agree
24,1059,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,,<unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the toilet,agree,agree
25,1098,teen wakes up <unknown> surgery and asks doctors <unknown> it going    ,,after her successful brain surgery recovery <unknown> told the daily mail about the experience ,agree,agree
26,1116,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,in a pool of blood,<unknown> <unknown> had <unknown> and was lying in a pool of blood   ,agree,agree
27,1117,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,adopted a jewish <unknown> under,<unknown> president adopted a jewish <unknown> under a law intended to <unknown> an old legend,agree,agree
28,1132,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,,a teenager woke up during brain surgery to ask doctors how it was going <unknown>,agree,agree
29,1140,argentina 's president <unknown> <unknown> <unknown> jewish <unknown> to prevent him turning into a <unknown>,,earlier reports including one in upi explained that according to argentinian legend the seventh son,disagree,disagree
30,1181,<unknown> <unknown> brain surgery teen wakes up <unknown> on table chats about cat  ,<number> was midway through the,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
31,1204,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
32,1212,a <unknown> girl gave this <unknown> letter to her teacher after he came out as,,              ,agree,agree
33,1233,pregnant woman loses eye after police shoot bean bag at her    ,,              ,agree,agree
34,1236,woman has third <unknown> <unknown>          ,,<unknown> reportedly spent <number> to have a third <unknown> the procedure was done a few,agree,agree
35,1254,rise of the <unknown> cat pet who was killed and buried by his owner climbed,,the human society of tampa bay released a statement to abc explaining what happened to,agree,agree
36,1365,<unknown> cat is getting gender assignment surgery        ,,and as for a fellow <unknown> last year a liverpool cat with both male and,agree,agree
37,1453,<unknown> <unknown> dead rumors not true         ,,there were recent rumours on the internet that the <unknown> had passed away after suffering,agree,agree
38,1524,scorpion <unknown> woman on <unknown> plane         ,,los angeles cbs <unknown> a scorpion <unknown> a woman on the hand just before her,agree,agree
39,1562,a justin bieber <unknown> just saved a mans life who was being attacked by a,,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
40,1587,texas boy suspended for saying he could make classmate disappear with lord of the rings,,<unknown> lore led a texas boy to suspension after he brought his one ring to,agree,agree
41,1635,<unknown> is never funny unless it 's these bros tricked into <unknown> their mothers ,,              ,agree,agree
42,1699,tv show tricks chronic <unknown> into harassing their own mothers     ,,              ,agree,agree
43,1782,these men <unknown> their <unknown> mothers is the best payback ever    ,,peruvian show <unknown> at your mom takes the mothers of men with a history of,agree,agree
44,1797,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,is the cats owner and,<unknown> <unknown> is the cats owner and says <unknown> was hit by a vehicle and,agree,agree
45,1885,justin bieber helps defend russian fisherman from bear       ,,the <unknown> <unknown> of justin bieber is credited with saving a man 's life in,agree,agree
46,1950,<unknown> expansion ahead no says <unknown> <unknown>        ,,at the moment there are no <unknown> plans to build a new <unknown> but that,disagree,disagree
47,2014,<unknown> calls macabre selfie claims completely crazy        ,before,<unknown> <unknown> personal doctor has said reports she took a selfie with the star before,agree,agree
48,2022,<unknown> spouse chops off unfaithful husband 's manhood twice      ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
49,2037,when street <unknown> realize the women they 're <unknown> are their <unknown> in disguise ,,its a pretty genius way to turn the tables on the <unknown> at least its,agree,agree
50,2071,update children used as dogs in fights        ,,<unknown> stated while watching one video if she closed her eyes and listened to the,agree,agree
51,2151,pregnant woman loses eye after police shoot bean bag at her    ,,<unknown> <unknown> said she and her boyfriend <unknown> lee were just riding around and <unknown>,agree,agree
52,2157,<unknown> president adopted a jewish <unknown> to stop him from turning into a <unknown> ,is not in any way,the local myth of the <unknown> is not in any way connected to the custom,disagree,disagree
53,2162,cheese blamed for north korean leader kim jong-un 's broken ankles    ,added that the <unknown> dictator,the source added that the <unknown> dictator had undergone an operation at the <unknown> clinic,agree,agree
54,2293,<unknown> cat is getting gender assignment surgery        ,,<unknown> said she would prefer to have another female cat she already has a male,agree,agree
55,2332,justin bieber saves man from bear attack        ,,<unknown> <unknown> mailonline <unknown> <unknown> id <number> title fisherman saved from bear attack by justin,agree,agree
56,2341,news read the touching letter this <unknown> girl sent her teacher after he came out,,the girl slipped the letter to the teacher shortly after the lesson and he claims,agree,agree
57,2351,transgender teen <unknown> <unknown> blames christian parents in <unknown> suicide note    ,been affected by the issues,if you ve been affected by the issues in this article please call the <unknown>,agree,agree
58,2398,the story of the <unknown> lady is as fake as her third <unknown>  ,,<unknown> has uncovered a stolen <unknown> report from the tampa international airport that lists a,agree,agree
59,2415,<unknown> cat <unknown> way out of grave and into our hearts    ,pet had severe trauma to,the <unknown> pet had severe trauma to his head a broken <unknown> and a dead,agree,agree
60,2433,after finding out <unknown> that her <unknown> was unwell this bride married a wedding guest,,a wedding <unknown> was sparked when a bride opted to marry a guest instead after,agree,agree
61,2479,<unknown> <unknown> dead fans panic that <unknown> founder is gone     ,after the story started to,but soon after the story started to be picked up by several different news outlets,agree,agree
62,2484,a justin bieber <unknown> just saved a mans life who was being attacked by a,,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
63,2486,lisa <unknown> did not send <unknown> tweet about bill <unknown> twitter account fake  ,picked up by several news,it got picked up by several news organizations and attributed to <unknown> who played <unknown>,agree,agree
64,2489,us video showing <unknown> beheading is authentic        ,,              ,agree,agree
65,2511,wife cuts off husband 's penis twice after catching him cheating    ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
66,2533,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,,              ,agree,agree
67,2541,how 's it going teenager wakes up during brain surgery and asks doctors for progress,,on <unknown> <unknown> from <unknown> she was apparently neither <unknown> or in agony but rather,agree,agree
68,2580,children in dog fighting horror          ,,south african police have been accused of not doing enough to crack down on a,agree,agree
69,2588,<unknown> cat to get gender assignment surgery        ,,since gender assignment surgery is more a medical need than a <unknown> one the initial,agree,agree
70,2607,justin bieber <unknown> saved a russian fisherman during a bear attack    ,the rings stars latest ally,the lord of the rings stars latest ally in his <unknown> with the pop <unknown>,agree,agree
71,2619,i am lost for words <unknown> boy billed for missing friends birthday party  ,,julie lawrence the birthday boys mother has defended the fee as necessary to <unknown> the,agree,agree
72,2728,a peruvian tv show is <unknown> men into <unknown> their mothers for feminism  ,,that viral video of <unknown> hitting on a drunk woman was just a hoax a,disagree,disagree
73,2742,the story of the <unknown> lady is as fake as her third <unknown>  ,she had a third <unknown>,the woman who claimed she had a third <unknown> has been proved a hoax ,agree,agree
74,2769,justin bieber <unknown> saved a russian fisherman during a bear attack    ,,a man was saved from a vicious bear attack thanks to his justin bieber <unknown>,agree,agree
75,2783,unbearable man <unknown> off bear attack by playing justin bieber song    ,,<unknown> year old <unknown> <unknown> was recently fishing in russia 's <unknown> republic when he,agree,agree
76,2803,justin bieber helps defend russian fisherman from bear       ,,a man was saved from a vicious bear attack thanks to his justin bieber <unknown>,agree,agree
77,2825,even though you 're gay i will always treat you the same way as i,,              ,agree,agree
78,2837,brain op shock as teen wakes up <unknown>       ,went through this serious procedure,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
79,2865,<unknown> jihadi khalil <unknown> killed in syria drone strike      ,,              ,agree,agree
80,2893,argentina president <unknown> jewish <unknown> for first time in country 's history   ,,starting in <number> the tradition was formally established by a <unknown> in <number> by juan,agree,agree
81,2907,sandwich <unknown> gets comeuppance in this awesome office note saga     ,,the frustrated worker posted a sign on the <unknown> saying to the person who keeps,agree,agree
82,2921,mans penis destroyed by battery acid over viral sex video in south africa  ,,a teenager poured acid on her boyfriends penis after he released a sex tape of,agree,agree
83,2926,<unknown> writes moving letter to teacher who came out as gay to his class ,,a teacher has shared a touching note he received from a <unknown> student after he,agree,agree
84,2938,iraqi army <unknown> two uk planes carrying weapons for isis     ,,he said the iraqi parliament has asked london for explanations in this regard  ,agree,agree
85,2940,justin bieber <unknown> <unknown> bear saves russian fisherman       ,was besieged by a brown,<unknown> <unknown> was besieged by a brown bear on the way to his favourite fishing,agree,agree
86,2948,when street <unknown> realize the women they 're <unknown> are their <unknown> in disguise ,,peruvian show <unknown> at your mom takes the mothers of men with a history of,agree,agree
87,2985,bieber <unknown> <unknown> bear saves man 's life       ,,a man was saved from a vicious bear attack thanks to his justin bieber <unknown>,agree,agree
88,2994,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,,the creature only shows its true nature on the first friday after the boy 's,agree,agree
89,3017,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,,<unknown> suffered several cuts and large <unknown> around his face and chest and is currently,agree,agree
90,3115,israeli politicians praise <unknown> plan to give palestinians land for a state in <unknown> ,,while some israeli politicians responded positively to reports that <unknown> had offered to expand the,agree,agree
91,3119,wife chops off cheating husbands penis twice        ,,feng proceeded to get a pair of scissors and attack fan while he was sleeping,agree,agree
92,3151,argentina 's president just adopted a son so he wo n't turn into a <unknown>,,according to the real legend of the <unknown> or <unknown> it is only the seventh,disagree,disagree
93,3202,<unknown> <unknown> the woman with three breasts        ,,after the news that a <unknown> woman had an operation to add a third <unknown>,agree,agree
94,3215,news read the touching letter this <unknown> girl sent her teacher after he came out,,and now for a story that will warm you all the way down to your,agree,agree
95,3335,argentina 's president just adopted a son so he wo n't turn into a <unknown>,,nope <unknown> president <unknown> <unknown> de <unknown> has not become <unknown> of a jewish baby,disagree,disagree
96,3337,justin bieber basically saves a russian man from a bear     ,,at some point in making the leap to english someone added a detail to the,disagree,disagree
97,3406,girl <unknown> boyfriends penis in acid attack after video of them having sex goes viral,,<unknown> <unknown> <number> used his laptop to film himself having sex with his <unknown> girlfriend,agree,agree
98,3417,<unknown> the intersex cat to get gender assignment       ,,did i just hear you right asked <unknown> to the vet after she was told,agree,agree
99,3474,<unknown> cat to get gender assignment surgery        ,,murphy was shocked to find out that her new <unknown> was in fact a <unknown>,agree,agree
100,3492,<unknown> <unknown> doctor snapped a selfie before <unknown> surgery      ,,a staffer at manhattans <unknown> <unknown> clinic said the doctor who performed a <unknown> on,agree,agree
101,3650,wife cuts off husband 's penis twice after catching him cheating    ,send the <unknown> messages to,fan lung <number> used feng 's phone to send the <unknown> messages to <unknown> hung,agree,agree
102,3668,justin bieber <unknown> saved a russian fisherman during a bear attack    ,,the <unknown> <unknown> of justin bieber is credited with saving a man 's life in,agree,agree
103,3672,gender assignment surgery to be given to <unknown> cat      ,,murphy was shocked to find out that her new <unknown> was in fact a <unknown>,agree,agree
104,3690,<unknown> teenager wakes up during brain surgery talks to doctor     ,<number> was midway through the,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
105,3711,justin bieber saved this guy from a bear attack      ,,reports of more attacks in <unknown> bears on people <unknown> <unknown> <unknown> <unknown> ignored they,disagree,disagree
106,3741,top cop investigating charlie hebdo attacks kills himself hours after french massacre   ,,the <unknown> was investigating the devastating terrorist attack at charlie hebdo magazine when he killed,agree,agree
107,3758,ferguson riots pregnant woman loses eye after cops fire bean bag round through car window,,i 'm very upset and very disappointed with the tactics that they used <unknown> 's,agree,agree
108,3801,school children in <unknown> <unknown> dog fighting during <unknown>      ,,n a most horrific form of child abuse young children in a school in <unknown>,agree,agree
109,3853,<unknown> your mother the <unknown> to stop street <unknown> in <unknown> google translate  ,,this performance by actors is based on interviews with real <unknown> who once harassed by,agree,agree
110,3871,lisa <unknown> tweet about bill <unknown> sent from fake account manager confirms   ,has no social media of,lisa <unknown> has no social media of any kind her manager tells people exclusively ,agree,agree
111,3910,evil aunt hacks off <unknown> penis         ,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
112,3950,<unknown> president adopted a jewish <unknown> to stop him from turning into a <unknown> ,,according to the real legend of the <unknown> or <unknown> it is only the seventh,disagree,disagree
113,3963,man kicked off flight thanks to his burning hatred for christmas    ,,a man was tossed off a flight at <unknown> this week after he freaked out,agree,agree
114,4007,saudi stocks currency <unknown> as <unknown> <unknown> <unknown> isis <unknown> concerns    ,,update nothing to see here move along        ,disagree,disagree
115,4021,wife chops off cheating husbands penis twice        ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
116,4022,stop sharing those photos of fancy international school lunches      ,,the photo gallery first appeared on the <unknown> of east coast salad chain <unknown> to,agree,agree
117,4028,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,,according to tradition in the country the seventh son born to a family turns into,disagree,disagree
118,4084,teen wakes up during brain surgery asks how its going     ,<unknown> <unknown> awoke during an,cen shock <unknown> <unknown> awoke during an operation to remove a <unknown> growth  ,agree,agree
119,4097,jealous wife who chopped off husbands penis for cheating on her chops it off a,,after the emergency operation feng went back to fan 's hospital room and severed his,agree,agree
120,4139,this <unknown> cat returned home five days after being buried by its owner  ,,a cat in the tampa bay region of florida has seemingly risen from the dead,agree,agree
121,4166,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
122,4170,missing <unknown> in colorado sparks intense russian fears       ,,the lockdown was triggered thursday after the pistol turned up missing in an equipment inventory,disagree,disagree
123,4219,<unknown> <unknown> doctor denies unauthorized procedure selfie before cardiac arrest     ,,dr <unknown> <unknown> also categorically denies taking a selfie photo while <unknown> was under <unknown>,agree,agree
124,4225,<unknown> <unknown> <unknown> <unknown> doctor denies taking selfie       ,,the statement disputes what a source close to the <unknown> death investigation told cnn that,agree,agree
125,4247,a justin bieber <unknown> just saved a mans life who was being attacked by a,was besieged by a brown,<unknown> <unknown> was besieged by a brown bear on the way to his favourite fishing,agree,agree
126,4248,south korean woman 's hair eaten by robot vacuum cleaner as she slept  ,,unable to free herself she called the fire department with a desperate rescue plea and,agree,agree
127,4276,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,<unknown> <unknown> from henan province in central china is said to have attacked the boy,agree,agree
128,4309,<unknown> spouse chops off unfaithful husband 's manhood twice      ,,hell hath no fury like a woman scorned       ,agree,agree
129,4414,scorpion <unknown> passenger delays flight from los angeles to portland     ,lax delayed or <unknown> because,<unknown> flights at lax delayed or <unknown> because of storms in northeast la now flights,agree,agree
130,4443,iraqi army <unknown> <number> uk planes carrying weapons for isil     ,and defense committee has access,the iraqi parliaments national security and defense committee has access to the photos of both,agree,agree
131,4479,<unknown> woman a fake           ,,the woman who claimed she had a third <unknown> was lying and the story is,agree,agree
132,4504,transgender teen who committed suicide left <unknown> note saying she would never be happy ,,her mother <unknown> <unknown> posted a tribute to her daughter on facebook but referred to,agree,agree
133,4516,i never intended to kill his penis i was just angry <unknown> acid attack girl,,in the viral video that <unknown> has seen to verify the claims <unknown> is seen,agree,agree
134,4533,justin bieber <unknown> <unknown> bear          ,bear <unknown> <unknown> face and,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
135,4558,justin bieber saved a guy getting <unknown> by a bear     ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
136,4575,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,,<unknown> was sitting on the toilet sending text messages to her boyfriend when the <unknown>,agree,agree
137,4613,china wife chops off cheating husband 's penis twice with scissors and throws it out,,feng proceeded to get a pair of scissors and attack fan while he was sleeping,agree,agree
138,4616,<unknown> woman theyre not fake          ,woman who claimed she had,a <unknown> florida woman who claimed she had plastic surgery to place a third <unknown>,disagree,disagree
139,4632,ferguson riots pregnant woman loses eye after cops fire bean bag round through car window,,a pregnant woman is now <unknown> in her left eye after being hit by glass,agree,agree
140,4674,i will have justice for what they did to me pregnant st louis woman loses,,ferguson mo cbs st <unknown> a pregnant woman lost her eye during protests in ferguson,agree,agree
141,4717,justin bieber <unknown> <unknown> bear saves russian fisherman       ,,a man was saved from a vicious bear attack thanks to his justin bieber <unknown>,agree,agree
142,4772,angry passenger tossed off plane after crew wishes him merry christmas    ,,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
143,4776,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,,argentina 's president <unknown> <unknown> de <unknown> had a magical moment last week when she,agree,agree
144,4782,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,,justin bieber may not have been able to take on orlando <unknown> but he sure,agree,agree
145,4797,boy <number> billed with no show fee for missing friend 's birthday party  ,,the latest <unknown> <unknown> missing a birthday party or sending an <unknown> to the absent,agree,agree
146,4820,wife chopped her husband 's penis off after she discovered he had <unknown> on her,out to see what was,staff rushed out to see what was happening and found the patient with blood streaming,agree,agree
147,4853,argentina president <unknown> young jewish boy as <unknown> to prevent him from turning into <unknown>,,according to tradition in the country the seventh son born to a family turns into,disagree,disagree
148,4874,south korean woman 's hair eaten by robot vacuum cleaner     ,<number> korea <unknown> a powerful,seoul feb <number> korea <unknown> a powerful robot vacuum cleaner caused an unlikely accident involving,agree,agree
149,4877,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,,<unknown> was sitting on the toilet sending text messages to her boyfriend when the <unknown>,agree,agree
150,4988,justin bieber <unknown> saves russian fisherman from bear attack      ,ordeal <unknown> 's phone which,during the ordeal <unknown> 's phone which has bieber 's baby as the <unknown> went,agree,agree
151,5009,<unknown> cat named <unknown> to get gender <unknown>       ,,since gender assignment surgery is more a medical need than a <unknown> one the initial,agree,agree
152,5021,teen wakes up during brain surgery asks how its going     ,<number> was midway through the,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
153,5023,woman has third <unknown> <unknown>          ,,<unknown> has aspirations to be a reality star and hopes to get a show on,agree,agree
154,5058,sorry argentina 's president did n't actually <unknown> a jewish <unknown>    ,,according to the real legend of the <unknown> or <unknown> it is only the seventh,agree,agree
155,5068,this <unknown> cat returned home five days after being buried by its owner  ,was left <unknown> when several,but he was left <unknown> when several days later the injured but very alive <unknown>,agree,agree
156,5090,man in china recovering in hospital after wife chopped off his penis   ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
157,5098,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,<unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the toilet,agree,agree
158,5109,transgender teen <unknown> <unknown> <unknown> suicide by walking in front of semi truck blames christian,,she says that she identified as a girl from the age of four and that,agree,agree
159,5139,argentina 's president just adopted a son so he wo n't turn into a <unknown>,,earlier reports including one in upi explained that according to argentinian legend the seventh son,disagree,disagree
160,5146,passenger gets kicked off plane after merry christmas <unknown>      ,,              ,agree,agree
161,5155,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,,according to tradition in the country the seventh son born to a family turns into,disagree,disagree
162,5163,third <unknown> likely a hoax          ,she had a third <unknown>,the woman who claimed she had a third <unknown> has been proved a hoax ,agree,agree
163,5187,american airlines boots man from plane after merry christmas <unknown> <unknown>    ,,a man was tossed off a flight at <unknown> this week after he freaked out,agree,agree
164,5249,here are the <number> places left where you can find that taste of the <unknown>,,<unknown> 's was still killing it with the <unknown> in the <unknown> when mcdonald 's,agree,agree
165,5276,this third <unknown> is probably only real in our hearts     ,,              ,agree,agree
166,5396,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,,              ,agree,agree
167,5397,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,,<unknown> <unknown> was sitting in the passenger seat of the vehicle at a <unknown> gas,agree,agree
168,5403,a peruvian tv show is <unknown> men into <unknown> their mothers for feminism  ,what 's the matter with,what 's the matter with you <unknown> what they told about you was true that,agree,agree
169,5433,<unknown> is better not together company to split into <unknown> and <unknown> businesses  ,,<unknown> split arrives less than a week after <unknown> decision to <unknown> <unknown> into a,agree,agree
170,5440,china penis <unknown> cruel aunt <unknown> <unknown> <unknown> 's genitals as punishment   ,aunt cut her <unknown> <unknown>,a <unknown> aunt cut her <unknown> <unknown> penis off when he burst in on her,agree,agree
171,5480,is <unknown> real or not leading marine <unknown> rules picture of giant <unknown> <unknown> in,may have been a sand,i thought it may have been a sand formation but it looked like a <unknown>,agree,agree
172,5486,the <unknown> was sick so the bride married a guest at her wedding in a,,a wedding <unknown> was sparked when a bride opted to marry a guest instead after,agree,agree
173,5490,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
174,5491,no argentina 's president did not <unknown> a jewish child to stop him turning into,,<unknown> shared photos from a <unknown> <unknown> ceremony on her blog and described adopting a,disagree,disagree
175,5498,<unknown> will build battery <unknown> in nevada        ,,<unknown> recently confirmed that it has been <unknown> on a site near reno but stopped,agree,agree
176,5506,school pupil writes moving letter to her teacher after he comes out as gay ,,the girl slipped the letter to the teacher shortly after the lesson and he claims,agree,agree
177,5512,even though you 're gay i will always treat you the same way as i,,a teacher has shared a touching note he received from a <unknown> student after he,agree,agree
178,5519,<unknown> it going teen wakes up during brain surgery      ,,<unknown> <unknown> <number> had been taken to the central clinical hospital in the city of,agree,agree
179,5529,these men freak out when they discover the women they are harassing are their <unknown>,,november <unknown> marks the international day for the elimination of violence against women so <unknown>,agree,agree
180,5579,<unknown> woman a fake           ,,              ,agree,agree
181,5582,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,,they say he 's likely to live but he will lose his eye  ,agree,agree
182,5653,justin bieber <unknown> <unknown> bear saves russian fisherman       ,,the <unknown> <unknown> of justin bieber is credited with saving a man 's life in,agree,agree
183,5673,<unknown> <unknown> found dead but still makes it to family movie night   ,,sunday night facebook went crazy with <unknown> <unknown> dead rumors but <unknown> can tell you,agree,agree
184,5688,justin bieber helps defend russian fisherman from bear       ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
185,5737,ohio <unknown> teen <unknown> suicide leaves <unknown> note declaring theres no way out  ,,<unknown> died around <number> am sunday after she was hit by a <unknown> trailer near,agree,agree
186,5754,the men caught <unknown> and wolf <unknown> their own mothers hilarious tv show <unknown> women,,peruvian show <unknown> at your mom takes the mothers of men with a history of,agree,agree
187,5774,woman <unknown> by scorpion on alaska airlines flight       ,,as for the woman she was treated by medical personnel for a <unknown> on the,agree,agree
188,5796,man 's girlfriend <unknown> acid on his penis after he <unknown> recorded their sex session,,a south african man paid the price for secretly filming he and his girlfriend having,agree,agree
189,5823,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
190,5842,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,,while chatting with doctors during the procedure <unknown> reportedly asked how the surgery was going,agree,agree
191,5846,argentina 's president <unknown> <unknown> <unknown> jewish <unknown> to prevent him turning into a <unknown>,,well the story 's kind of true <unknown> de <unknown> did <unknown> the young man,disagree,disagree
192,5881,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,,according to the real legend of the <unknown> or <unknown> it is only the seventh,disagree,disagree
193,5929,justin bieber <unknown> saves russian fisherman from bear attack      ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
194,5947,new twist charlie hebdo police investigator turns up dead <unknown>     ,,here is a link to the original report in the french media which confirms that,agree,agree
195,5948,hands up dont shoot comes to hong <unknown> <unknown> movement     ,,but beijing has asserted more control in the city in recent months this includes requiring,agree,agree
196,5958,<unknown> cat named <unknown> to get gender <unknown>       ,,murphy was shocked to find out that her new <unknown> was in fact a <unknown>,agree,agree
197,5962,transgender teen <unknown> suicide <unknown> a <unknown> note urging the world to change  ,,when i was <number> i learned what transgender meant and cried of happiness after <number>,agree,agree
198,5974,<unknown> president adopted a jewish <unknown> to stop him from turning into a <unknown> ,,nope <unknown> president <unknown> <unknown> de <unknown> has not become <unknown> of a jewish baby,disagree,disagree
199,6055,microsoft to buy <unknown> creator <unknown> for <unknown>       ,,              ,agree,agree
200,6059,<unknown> <unknown> selfie doctor denies performing <unknown> and taking photo while star was under <unknown>,,as radar has reported <unknown> daughter <unknown> is now considering a lawsuit against the clinic,disagree,disagree
