,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
65,2734,party <unknown> boy sent bill for birthday <unknown>       ,a week later that the,it was a week later that the <unknown> for <unknown> <unknown> was received a teacher,agree,agree
66,2769,justin bieber <unknown> saved a russian fisherman during a bear attack    ,to his justin bieber <unknown>,a man was saved from a vicious bear attack thanks to his justin bieber <unknown>,agree,agree
67,2783,unbearable man <unknown> off bear attack by playing justin bieber song    ,ability to <unknown> animals wildlife,while some might argue the pop song has the ability to <unknown> animals wildlife experts,agree,agree
68,2803,justin bieber helps defend russian fisherman from bear       ,sharp shock can stop an,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
69,2825,even though you 're gay i will always treat you the same way as i,i will always treat you,it reads dear mr r even though youre gay i will always treat you the,agree,agree
70,2840,after finding out <unknown> that her <unknown> was unwell this bride married a wedding guest,india where <unknown> <unknown> <unknown>,it was like any other wedding ceremony in india where <unknown> <unknown> <unknown> was to,agree,agree
71,2898,<unknown> report claims michael jackson is father of bruno mars     ,    ,              ,agree,agree
72,2938,iraqi army <unknown> two uk planes carrying weapons for isis     ,been numerous reports that us,there have already been been numerous reports that us led coalition planes have been air,agree,agree
73,2940,justin bieber <unknown> <unknown> bear saves russian fisherman       ,a brown bear on the,<unknown> <unknown> was besieged by a brown bear on the way to his favourite fishing,agree,agree
74,2951,explosive new details of <unknown> <unknown> medical crisis doctor snapped selfie with legendary comic performed,<unknown> for a routine procedure,although <unknown> <unknown> went to <unknown> <unknown> for a routine procedure her time spent there,agree,agree
75,2980,man saved from bear attack thanks to his justin bieber <unknown>    ,<unknown> his face the rodman,as it <unknown> his face the rodman feared he was about to be killed ,agree,agree
76,2985,bieber <unknown> <unknown> bear saves man 's life       ,<unknown> <number> was walking to,russian man <unknown> <unknown> <number> was walking to his favourite fishing spot when a brown,agree,agree
77,3017,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,<unknown> was heading to a,<unknown> <unknown> was heading to a local fishing spot in northern russias <unknown> republic when,agree,agree
78,3119,wife chops off cheating husbands penis twice        ,he was stopped and the,he was stopped and the woman was taken in for treatment and then we discovered,agree,agree
79,3136,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,photos from a <unknown> <unknown>,<unknown> shared photos from a <unknown> <unknown> ceremony on her blog and described adopting a,agree,agree
80,3205,justin bieber saves man from bear attack        ,<unknown> threat to america but,bears might be the <unknown> threat to america but whats the <unknown> threat to bears,agree,agree
81,3287,<unknown> spotted off the coast of britain        ,despite its popularity with the,but despite its popularity with the global media the tale left online readers feeling rather,disagree,disagree
82,3360,<unknown> angry bride <unknown> guest after learning <unknown> is <unknown>     ,    ,              ,agree,agree
83,3400,<unknown> <unknown> doctor denies selfie          ,<unknown> personal ear nose and,<unknown> <unknown> <unknown> <unknown> personal ear nose and throat doctor who allegedly performed an unauthorized,agree,agree
84,3417,<unknown> the intersex cat to get gender assignment       ,<unknown> was adopted by <unknown>,<unknown> was adopted by <unknown> <unknown> and her <unknown> live in heart 's desire newfoundland,agree,agree
85,3469,man removed from plane over christmas greeting dispute       ,down insisting that the greeting,the man refused to calm down insisting that the greeting was inappropriate   ,agree,agree
86,3522,ghost ship filled with <unknown> rats heading for florida      ,that the ships actual course,experts and analysts estimate that the ships actual course and speed will bring it to,agree,agree
87,3650,wife cuts off husband 's penis twice after catching him cheating    ,used feng 's phone to,fan lung <number> used feng 's phone to send the <unknown> messages to <unknown> hung,agree,agree
88,3690,<unknown> teenager wakes up during brain surgery talks to doctor     ,to have a <unknown> growth,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
89,3893,<unknown> kills mate because he has a small penis      ,but we took the remains,at first we couldnt understand why but we took the remains to a vet who,agree,agree
90,3912,hong <unknown> protesters <unknown> <unknown> hands up dont shoot      ,stand out i will hate,if today i dont stand out i will hate myself in future taxi driver edward,agree,agree
91,3934,woman pays <number> for third <unknown> to make herself less attractive to men  ,that to me it just,when asked about her new addition she told the station that to me it just,agree,agree
92,3955,missing <unknown> soldiers found trying to cross us border to canada    ,not believe the three soldiers,patrick said monday that the military does not believe the three soldiers pose a danger,agree,agree
93,3956,florida woman gets plastic surgery to add a third <unknown>     ,a reality star a woman,in order to become a reality star a woman from florida underwent an expensive surgery,agree,agree
94,4021,wife chops off cheating husbands penis twice        ,he was stopped and the,he was stopped and the woman was taken in for treatment and then we discovered,agree,agree
95,4022,stop sharing those photos of fancy international school lunches      ,the <unknown> of east coast,the photo gallery first appeared on the <unknown> of east coast salad chain <unknown> to,agree,agree
96,4084,teen wakes up during brain surgery asks how its going     ,surgeons say <unknown> <unknown> <number>,shocked surgeons say <unknown> <unknown> <number> was never in danger despite her <unknown> consciousness while,agree,agree
97,4088,<unknown> lin 's penis stolen by thieves        ,<unknown> village near <unknown> city,<unknown> lin <number> of the <unknown> village near <unknown> city in east chinas zhejiang province,agree,agree
98,4097,jealous wife who chopped off husbands penis for cheating on her chops it off a,flew into a rage after,feng lung <number> flew into a rage after finding her husband 's messages to his,agree,agree
99,4104,woman bit by scorpion on alaska airlines flight is chill as hell   ,plane was also carrying the,the plane was also carrying the oregon state university men 's basketball team head coach,agree,agree
100,4139,this <unknown> cat returned home five days after being buried by its owner  ,<unknown> 's treatment and surrendered,the owners of the cat were unable to pay for <unknown> 's treatment and surrendered,agree,agree
101,4166,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,him was a knife and,next to him was a knife and his penis      ,agree,agree
102,4219,<unknown> <unknown> doctor denies unauthorized procedure selfie before cardiac arrest     ,selfie photo while <unknown> was,dr <unknown> <unknown> also categorically denies taking a selfie photo while <unknown> was under <unknown>,agree,agree
103,4247,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> is the largest land,the brown bear <unknown> <unknown> is the largest land based predator in the world adult,agree,agree
104,4276,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,the <unknown> walked in and,the <unknown> was using her mobile phone when the <unknown> walked in and asked if,agree,agree
105,4350,man removed from plane over christmas greeting dispute       ,shouted before <unknown> past her,dont say merry christmas the man shouted before <unknown> past her    ,agree,agree
106,4443,iraqi army <unknown> <number> uk planes carrying weapons for isil     ,asked london for explanations in,he said the iraqi parliament has asked london for explanations in this regard  ,agree,agree
107,4533,justin bieber <unknown> <unknown> bear          ,from being <unknown> by a,justin biebers song has saved a russian man from being <unknown> by a bear ,agree,agree
108,4547,missouri pig <unknown> <unknown> during fbi raid        ,the night of new years,caught in full action during the night of new years eve the fbi raid engaged,agree,agree
109,4558,justin bieber saved a guy getting <unknown> by a bear     ,a man fishing in northern,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
110,4575,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,<unknown> <number> said i had,<unknown> <unknown> 's mother <unknown> <unknown> <number> said i had popped out to see a,agree,agree
111,4613,china wife chops off cheating husband 's penis twice with scissors and throws it out,has been arrested in china,a women has been arrested in china after reports that she chopped off her husband,agree,agree
112,4717,justin bieber <unknown> <unknown> bear saves russian fisherman       ,sharp shock can stop an,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
113,4756,man saved from bear attack thanks to his justin bieber <unknown>    ,russia was being attacked by,a fisherman in russia was being attacked by a brown bear and escaped death when,agree,agree
114,4772,angry passenger tossed off plane after crew wishes him merry christmas    ,told the gate agent you,the passenger told the gate agent you shouldnt say that because not everyone celebrates christmas,agree,agree
115,4776,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,law seventh children adopted by,under argentine law seventh children adopted by the president receive a gold medal and an,agree,agree
116,4820,wife chopped her husband 's penis off after she discovered he had <unknown> on her,<unknown> forgot to log out,the <unknown> forgot to log out of his account after the message was sent which,agree,agree
117,4822,the men caught <unknown> and wolf <unknown> their own mothers hilarious tv show <unknown> women,share this with your friends,share this with your friends and family by clicking the button below   ,agree,agree
118,5021,teen wakes up during brain surgery asks how its going     ,to have a <unknown> growth,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
119,5025,argentinian president <unknown> <unknown> <unknown> jewish boy to protect him from <unknown> <unknown>  ,<unknown> the practice had extended,this year <unknown> adopted the first jewish seventh son <unknown> <unknown> the practice had extended,agree,agree
120,5031,florida woman gets plastic surgery to add a third <unknown>     ,had to see countless doctors,she said she had to see countless doctors before finding one who would do the,agree,agree
121,5035,woman bit by scorpion on alaska airlines flight is chill as hell   ,    ,              ,agree,agree
122,5045,no michael jackson isnt bruno mars dad        ,<unknown> website empire news empire,the bogus story comes from the <unknown> website empire news empire news considers itself satirical,agree,agree
123,5068,this <unknown> cat returned home five days after being buried by its owner  ,<unknown> at the tampa bay,<unknown> at the tampa bay humane society where he is currently being treated believed he,agree,agree
124,5090,man in china recovering in hospital after wife chopped off his penis   ,what happened was when someone,the first we were aware of what happened was when someone came into the <unknown>,agree,agree
125,5127,<unknown> to split into two companies         ,<unknown> computer and <unknown> business,the us firm will separate its <unknown> computer and <unknown> business from its corporate hardware,agree,agree
126,5141,justin bieber basically saves a russian man from a bear     ,towards the spot i 'd,i had parked my car and was walking towards the spot i 'd marked out,agree,agree
127,5150,boy <number> given <number> <unknown> for missing friend 's birthday party    ,alex was coming to the,she saw me and asked if alex was coming to the party at this time,agree,agree
128,5338,found at canadian border <number> afghan soldiers missing from <unknown> <unknown>    ,part of a <unknown> group,in both cases the <unknown> were part of a <unknown> group that was taken to,agree,agree
129,5397,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,<unknown> subsequently vowed to seek,<unknown> subsequently vowed to seek justice for the incident on her facebook page where she,agree,agree
130,5403,a peruvian tv show is <unknown> men into <unknown> their mothers for feminism  ,<unknown> what they told about,what 's the matter with you <unknown> what they told about you was true that,agree,agree
131,5440,china penis <unknown> cruel aunt <unknown> <unknown> <unknown> 's genitals as punishment   ,sister his aunt had gone,my sister his aunt had gone         ,agree,agree
132,5478,justin bieber saved a guy getting <unknown> by a bear     ,was recently fishing in russia,<unknown> year old <unknown> <unknown> was recently fishing in russia 's <unknown> republic when he,agree,agree
133,5490,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,<unknown> aunt went into the,but instead of giving him the phone the <unknown> aunt went into the kitchen picked,agree,agree
134,5563,<unknown> <unknown> <unknown> <unknown> doctor denies taking selfie       ,<unknown> categorically denies taking the,according to a report by cnn <unknown> categorically denies taking the selfie and also denies,agree,agree
135,5707,is kim jong ill north korean dictator in poor health as his weight has ballooned,caused him to fracture his,the tubby tyrant is recovering from surgery after weight gain caused him to fracture his,agree,agree
136,5774,woman <unknown> by scorpion on alaska airlines flight       ,the flight also happened to,the flight also happened to be carrying the oregon state university men 's basketball team,agree,agree
137,5797,florida woman gets plastic surgery to add a third <unknown>     ,she found a <unknown> who,<unknown> <unknown> contacted over <number> doctors before she found a <unknown> who was willing to,agree,agree
138,5804,adopting potential <unknown> is routine business for argentine presidents      ,the honor only applied to,<unknown> is the first jewish <unknown> as the honor only applied to catholic boys until,agree,agree
139,5920,hong <unknown> protesters <unknown> <unknown> hands up dont shoot      ,<unknown> for reasons this reader,what is happening in hong <unknown> is <unknown> for reasons this reader <unknown> surprising for,agree,agree
140,5947,new twist charlie hebdo police investigator turns up dead <unknown>     ,<unknown> in france more loose,as the dust settles from this weeks terror <unknown> in france more loose ends are,agree,agree
141,5948,hands up dont shoot comes to hong <unknown> <unknown> movement     ,told the associated press that,protesters told the associated press that the <unknown> were peaceful when riot police started to,agree,agree
142,5965,<unknown> <unknown> rebels seize us marines weapons at airport      ,been temporarily closed with germany,british and french embassies have been temporarily closed with germany perhaps not far behind ,agree,agree
143,5972,argentinian president <unknown> <unknown> <unknown> jewish boy to protect him from <unknown> <unknown>  ,a new addition to her,<unknown> <unknown> de <unknown> the president of argentina got a new addition to her family,agree,agree
144,6167,sorry argentina 's president did n't actually <unknown> a jewish <unknown>    ,the seventh child of argentine,according to argentinian custom the country 's president takes the seventh child of argentine families,agree,agree
145,6208,teen <unknown> <unknown> wakes up during brain surgery asks how its going   ,<unknown> <number> went through this,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
146,6224,<unknown> girl <unknown> acid on boyfriends penis after he leaked their sex tape  ,according to <unknown> the pair,according to <unknown> the pair had been dating since december and while they agreed to,agree,agree
147,6286,a justin bieber <unknown> just saved a mans life who was being attacked by a,a man fishing in northern,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
148,6326,<unknown> have not accidentally cut down worlds oldest tree      ,<unknown> leader of the <unknown>,reports even contain a quote from <unknown> leader of the <unknown> tribe who said the,agree,agree
149,6408,sexually frustrated female <unknown> killed male because his penis was too small   ,but we took the remains,at first we couldnt understand why but we took the remains to a vet who,agree,agree
150,6435,justin bieber saved this guy from a bear attack      ,a brown bear on the,<unknown> <unknown> was besieged by a brown bear on the way to his favourite fishing,agree,agree
151,6443,wife chops off cheating husbands penis twice then stray animal <unknown> it   ,<unknown> forgot to log out,the <unknown> forgot to log out of his account after the message was sent which,agree,agree
152,6457,<unknown> it going teen wakes up during brain surgery      ,<unknown> reportedly asked how the,while chatting with doctors during the procedure <unknown> reportedly asked how the surgery was going,agree,agree
153,6533,disgusting <unknown> <unknown> <unknown> <unknown> <unknown> sick selfie exposed last photo of comic icon when,it 's believed that <unknown>,it 's believed that <unknown> went into cardiac arrest during the unauthorized <unknown> because of,agree,agree
154,6540,argentine president takes on <unknown> but not to keep <unknown> at bay   ,on the first friday after,the creature only shows its true nature on the first friday after the boys <unknown>,agree,agree
155,6606,<unknown> your mother the <unknown> to stop street <unknown> in <unknown> google translate  ,walks up to her son,the mother then turns around and walks up to her son the realization that he,disagree,disagree
156,6620,fowler falls for fake website makes crazy claims about <unknown> star    ,<unknown> player in the male,you 're looking at the highest paid <unknown> player in the male side in the,agree,agree
157,6686,woman pays <number> for third <unknown> to make herself less attractive to men  ,    ,              ,agree,agree
158,6705,adopting potential <unknown> is routine business for argentine presidents      ,has adopted a young jewish,the president of argentina has adopted a young jewish man as her <unknown> to stop,agree,agree
159,6721,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,photos from a <unknown> <unknown>,<unknown> shared photos from a <unknown> <unknown> ceremony on her blog and described adopting a,agree,agree
160,6736,five-year-old boy gets a bill for missing school friend 's birthday party   ,julie lawrence the birthday boys,julie lawrence the birthday boys mother has defended the fee as necessary to <unknown> the,agree,agree
161,6746,argentina 's president <unknown> <unknown> <unknown> jewish <unknown> to prevent him turning into a <unknown>,a new addition to her,<unknown> <unknown> de <unknown> the president of argentina got a new addition to her family,agree,agree
162,6808,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,<unknown> him mr <unknown> mobile,as the bear <unknown> him mr <unknown> mobile phone went off setting off his <unknown>,agree,agree
163,6833,afghan mother kills <number> taliban fighters in <unknown> <unknown> after watching her son slain in,<unknown> who was joined by,<unknown> who was joined by her daughter and daughter <unknown> engaged the taliban using <unknown>,agree,agree
164,6886,<unknown> <unknown> doctor took selfie during procedure        ,<unknown> also provided new details,cnn 's source close to the <unknown> also provided new details thursday including that a,disagree,disagree
165,6951,<unknown> to split in <number> companies         ,<unknown> and dave <unknown> in,founded by bill <unknown> and dave <unknown> in a palo alto california garage in <number>,agree,agree
166,7026,justin bieber saves man from bear attack        ,as the bear <unknown> <unknown>,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
167,7064,no saudi arabia has not banned the <unknown> eyes      ,said it should be supported,the committee is supported by all sides <unknown> said it should be supported because it,disagree,disagree
168,7117,china wife chops off cheating husband 's penis twice with scissors and throws it out,what happened was when someone,the first we were aware of what happened was when someone came into the <unknown>,agree,agree
169,7162,a justin bieber <unknown> just saved a mans life who was being attacked by a,was recently fishing in russia,<unknown> year old <unknown> <unknown> was recently fishing in russia 's <unknown> republic when he,agree,agree
170,7181,miracle cat <unknown> its way out of its own grave five days after being buried,<unknown> who seemed to have,<unknown> who seemed to have been hit by a car was in a pool of,agree,agree
171,7246,<unknown> is better not together company to split into <unknown> and <unknown> businesses  ,<unknown> is the latest in,<unknown> is the latest in a line of companies often under <unknown> pressure to spin,agree,agree
172,7277,saudi arabia set to introduce gender <unknown> on national airline flights    ,writes <unknown> on jan <number>,writes <unknown> on jan <number> airline company <unknown> will order its staff to keep men,agree,agree
173,7347,kim jong-un loves cheese so much he 's ballooned in size and walks with limp,caused him to fracture his,the tubby tyrant is recovering from surgery after weight gain caused him to fracture his,agree,agree
174,7367,argentina 's president didnt <unknown> a jewish child to avoid becoming a <unknown> so what,legend that a seventh child,there 's an old argentinian legend that a seventh child will turn into el <unknown>,agree,agree
175,7397,disgusting <unknown> <unknown> <unknown> <unknown> <unknown> sick selfie exposed last photo of comic icon when,the stars took a photo,reports suggest the throat specialist to the stars took a photo of the <unknown> inside,disagree,disagree
176,7486,justin bieber helps defend russian fisherman from bear       ,<unknown> suffered from cuts and,<unknown> suffered from cuts and severe <unknown> to his face and chest and was rescued,agree,agree
177,7582,adopting potential <unknown> is routine business for argentine presidents      ,any way connected to the,the local myth of the <unknown> is not in any way connected to the custom,disagree,disagree
178,7589,miracle cat <unknown> from the dead five days after burial     ,<unknown> his eye <unknown> emerged,five whole days later <unknown> face <unknown> his eye <unknown> emerged from his grave and,agree,agree
179,7618,<unknown> <unknown> doctor denies selfie          ,<unknown> also provided new details,cnn 's source close to the <unknown> also provided new details thursday including that a,agree,agree
180,7726,man 's girlfriend <unknown> acid on his penis after he <unknown> recorded their sex session,man can no longer use,a <unknown> man can no longer use his penis after his <unknown> girlfriend poured acid,agree,agree
181,7757,report woman who claimed to have third <unknown> added is fake    ,<unknown> talked to inside edition,<unknown> talked to inside edition and they told us they are not interviewing her and,agree,agree
182,7850,<unknown> cat is getting gender assignment surgery        ,<unknown> was adopted by <unknown>,<unknown> was adopted by <unknown> <unknown> and her <unknown> live in heart 's desire newfoundland,agree,agree
